Title	Writer	
Blowin' In the Wind	Bob Dylan	04:25
Blue Railroad Train	Delmor Bros	03:25
Candyman	Mississippi John Hurt	03:45
Changes	Phil Ochs	04:15
Circle Game	Joni Mitchell	05:45
Coffee Blues	Mississippi John Hurt	05:10
Boxer	Paul Simon	04:15
Deep River Blues	Delmor Bros	05:10
Don't Think Twice	Bob Dylan	04:20
Early Morning Rain	Gordon Lightfoot	04:30
Freight Train	Eliz. Cotton	03:00
Guitar Rag	Merle Travis	03:15
Got The Blues - Can't Be Satisfied	Mississippi John Hurt	02:40
Hesitation Blues	Jorma Kaukonen???	04:40
Highwayman	Phil Ochs	08:00
I Am A Pilgrim	traditional	04:45
I Can't Help But Wonder Where…	Tom Paxton	05:30
I Couldn't Keep From Caring	Len Chandler	05:35
I'll Be Your Baby Tonight	Bob Dylan	03:50
KOKO 	Len Chandler	03:40
Last Thing On My Mind	Tom Paxton	04:00
Missionary Stew	Len Chandler	
Mr. Bojangles	Jerry Jeff Walker	03:40
Power & Glory	Phil Ochs	04:25
Richland Woman Blues	Mississippi John Hurt	03:30
SF Bay Blues	Jesse Fuller	04:20
Scotch & Soda		
Southbound	Merle Watson	03:20
Streets of London	Ralph McTell	04:20
Suicide Is Painless	Johnny Mandell	03:40
There But For Fortune	Phil Ochs	03:10
Touch Talk	Len Chandler	
Try To Remember	Harvey Schmidt	05:10
Urge For Going	Joni Mitchell	05:30
You Aint Going No Where	Bob Dylan	04:30
Yucki Sushi	Pat Donohue	
		
Draft Dodger Rag	Phil Oches	
Lyndon Johnson Told	Tom Paxton	
Chestnuts Nuking….		02:15
Mazel Tov- Jingle Bells		01:01
		
Bluebell	traditional	03:20
Greensleaves	traditional	03:00
I'll See You In My Dreams	Gus Kahn & Isham Jones	
St. Louis Tickle	Theron C. Bennett	03:25
Windy & Warm	John B. Loudermill	05:10
		1433:16